date,pollution,dew,temp,press,wnd_spd
2010-01-02 00:00:00,129.0,-16,-4.0,1020.0,1.79
2010-01-02 01:00:00,148.0,-15,-4.0,1020.0,2.68
2010-01-02 02:00:00,159.0,-11,-5.0,1021.0,3.57
2010-01-02 03:00:00,181.0,-7,-5.0,1022.0,5.36
2010-01-02 04:00:00,138.0,-7,-5.0,1022.0,6.25
2010-01-02 05:00:00,109.0,-7,-6.0,1022.0,7.14
2010-01-02 06:00:00,105.0,-7,-6.0,1023.0,8.93
2010-01-02 07:00:00,124.0,-7,-5.0,1024.0,10.72
2010-01-02 08:00:00,120.0,-8,-6.0,1024.0,12.51
2010-01-02 09:00:00,132.0,-7,-5.0,1025.0,14.3
2010-01-02 10:00:00,140.0,-7,-5.0,1026.0,17.43
2010-01-02 11:00:00,152.0,-8,-5.0,1026.0,20.56
2010-01-02 12:00:00,148.0,-8,-5.0,1026.0,23.69
2010-01-02 13:00:00,164.0,-8,-5.0,1025.0,27.71
2010-01-02 14:00:00,158.0,-9,-5.0,1025.0,31.73
2010-01-02 15:00:00,154.0,-9,-5.0,1025.0,35.75
2010-01-02 16:00:00,159.0,-9,-5.0,1026.0,37.54
2010-01-02 17:00:00,164.0,-8,-5.0,1027.0,39.33
2010-01-02 18:00:00,170.0,-8,-5.0,1027.0,42.46
2010-01-02 19:00:00,149.0,-8,-5.0,1028.0,44.25
2010-01-02 20:00:00,154.0,-7,-5.0,1028.0,46.04
2010-01-02 21:00:00,164.0,-7,-5.0,1027.0,49.17
2010-01-02 22:00:00,156.0,-8,-6.0,1028.0,52.3
2010-01-02 23:00:00,126.0,-8,-6.0,1027.0,55.43
2010-01-03 00:00:00,90.0,-7,-6.0,1027.0,58.56
2010-01-03 01:00:00,63.0,-8,-6.0,1026.0,61.69
2010-01-03 02:00:00,65.0,-8,-7.0,1026.0,65.71
2010-01-03 03:00:00,55.0,-8,-7.0,1025.0,68.84
2010-01-03 04:00:00,65.0,-8,-7.0,1024.0,72.86
2010-01-03 05:00:00,83.0,-9,-8.0,1024.0,76.88
2010-01-03 06:00:00,91.0,-10,-8.0,1024.0,80.9
2010-01-03 07:00:00,86.0,-10,-9.0,1024.0,84.92
2010-01-03 08:00:00,82.0,-10,-9.0,1024.0,89.84
2010-01-03 09:00:00,86.0,-11,-9.0,1023.0,93.86
2010-01-03 10:00:00,78.0,-11,-9.0,1023.0,97.88
2010-01-03 11:00:00,98.0,-11,-9.0,1022.0,102.8
2010-01-03 12:00:00,107.0,-11,-9.0,1021.0,105.93
2010-01-03 13:00:00,90.0,-11,-9.0,1020.0,111.74
2010-01-03 14:00:00,96.0,-11,-9.0,1020.0,116.66
2010-01-03 15:00:00,95.0,-11,-9.0,1020.0,121.58
2010-01-03 16:00:00,86.0,-11,-9.0,1020.0,124.71
2010-01-03 17:00:00,70.0,-11,-9.0,1020.0,127.84
2010-01-03 18:00:00,61.0,-11,-9.0,1021.0,0.89
2010-01-03 19:00:00,53.0,-11,-9.0,1022.0,1.78
2010-01-03 20:00:00,71.0,-10,-9.0,1022.0,4.02
2010-01-03 21:00:00,72.0,-11,-10.0,1023.0,7.15
